type,status,departure.iataCode,departure.icaoCode,departure.terminal,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.gate,arrival.delay,arrival.baggage,departure.gate,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,error
departure,active,dad,vvdn,1,5.0,2023-11-01t07:05:00.000,2023-11-01t07:05:00.000,2023-11-01t07:10:00.000,2023-11-01t07:10:00.000,2023-11-01t07:10:00.000,sgn,vvts,1,2023-11-01t08:30:00.000,2023-11-01t08:12:00.000,,a1,a1,2623,a12623,a12623,vietjet air,vj,vjc,623,vj623,vjc623,,,,,,,,
departure,active,dad,vvdn,1,5.0,2023-11-01t07:05:00.000,2023-11-01t07:05:00.000,2023-11-01t07:10:00.000,2023-11-01t07:10:00.000,2023-11-01t07:10:00.000,sgn,vvts,1,2023-11-01t08:30:00.000,2023-11-01t08:12:00.000,flexflight,w2,fxt,4623,w24623,fxt4623,vietjet air,vj,vjc,623,vj623,vjc623,,,,,,,,
departure,active,dad,vvdn,1,5.0,2023-11-01t07:05:00.000,2023-11-01t07:05:00.000,2023-11-01t07:10:00.000,2023-11-01t07:10:00.000,2023-11-01t07:10:00.000,sgn,vvts,1,2023-11-01t08:30:00.000,2023-11-01t08:12:00.000,,h1,h1,4160,h14160,h14160,vietjet air,vj,vjc,623,vj623,vjc623,,,,,,,,
departure,active,dad,vvdn,1,5.0,2023-11-01t07:05:00.000,2023-11-01t07:05:00.000,2023-11-01t07:10:00.000,2023-11-01t07:10:00.000,2023-11-01t07:10:00.000,sgn,vvts,1,2023-11-01t08:30:00.000,2023-11-01t08:12:00.000,vietjet air,vj,vjc,623,vj623,vjc623,,,,,,,,,,,,,,
departure,active,dad,vvdn,1,2.0,2023-11-01t07:10:00.000,2023-11-01t06:55:00.000,2023-11-01t07:12:00.000,2023-11-01t07:12:00.000,2023-11-01t07:12:00.000,cxr,vvcr,1,2023-11-01t08:25:00.000,2023-11-01t08:06:00.000,vietnam airlines,vn,hvn,1947,vn1947,hvn1947,,,,,,,,,,,,,,
departure,active,dad,vvdn,1,11.0,2023-11-01t07:30:00.000,,2023-11-01t07:40:00.000,2023-11-01t07:40:00.000,2023-11-01t07:40:00.000,han,vvnb,t1,2023-11-01t09:00:00.000,2023-11-01t08:42:00.000,cambodia angkor air,k6,khv,3156,k63156,khv3156,vietnam airlines,vn,hvn,156,vn156,hvn156,,,,,,,,
departure,active,dad,vvdn,1,11.0,2023-11-01t07:30:00.000,,2023-11-01t07:40:00.000,2023-11-01t07:40:00.000,2023-11-01t07:40:00.000,han,vvnb,t1,2023-11-01t09:00:00.000,2023-11-01t08:42:00.000,vietnam airlines,vn,hvn,156,vn156,hvn156,,,,,,,,,,,,,,
departure,active,dad,vvdn,1,5.0,2023-11-01t07:40:00.000,2023-11-01t07:30:00.000,2023-11-01t07:44:00.000,2023-11-01t07:44:00.000,2023-11-01t07:44:00.000,han,vvnb,t1,2023-11-01t09:00:00.000,2023-11-01t08:46:00.000,,a1,a1,2504,a12504,a12504,vietjet air,vj,vjc,504,vj504,vjc504,,,,,,,,
departure,active,dad,vvdn,1,5.0,2023-11-01t07:40:00.000,2023-11-01t07:30:00.000,2023-11-01t07:44:00.000,2023-11-01t07:44:00.000,2023-11-01t07:44:00.000,han,vvnb,t1,2023-11-01t09:00:00.000,2023-11-01t08:46:00.000,flexflight,w2,fxt,4504,w24504,fxt4504,vietjet air,vj,vjc,504,vj504,vjc504,,,,,,,,
departure,active,dad,vvdn,1,5.0,2023-11-01t07:40:00.000,2023-11-01t07:30:00.000,2023-11-01t07:44:00.000,2023-11-01t07:44:00.000,2023-11-01t07:44:00.000,han,vvnb,t1,2023-11-01t09:00:00.000,2023-11-01t08:46:00.000,,h1,h1,4021,h14021,h14021,vietjet air,vj,vjc,504,vj504,vjc504,,,,,,,,
departure,active,dad,vvdn,1,5.0,2023-11-01t07:40:00.000,2023-11-01t07:30:00.000,2023-11-01t07:44:00.000,2023-11-01t07:44:00.000,2023-11-01t07:44:00.000,han,vvnb,t1,2023-11-01t09:00:00.000,2023-11-01t08:46:00.000,vietjet air,vj,vjc,504,vj504,vjc504,,,,,,,,,,,,,,
departure,unknown,dad,vvdn,1,,2023-11-01t07:45:00.000,,,,,han,vvnb,1,2023-11-01t09:05:00.000,,bamboo airways,qh,bav,102,qh102,bav102,,,,,,,,,,,,,,
departure,active,dad,vvdn,1,29.0,2023-11-01t08:05:00.000,2023-11-01t08:05:00.000,2023-11-01t08:34:00.000,2023-11-01t08:34:00.000,2023-11-01t08:34:00.000,dli,vvdl,,2023-11-01t09:30:00.000,2023-11-01t09:22:00.000,bamboo airways,qh,bav,2315,qh2315,bav2315,,,,,,,,,,,,,,
departure,active,dad,vvdn,1,19.0,2023-11-01t08:10:00.000,2023-11-01t08:07:00.000,2023-11-01t08:28:00.000,2023-11-01t08:28:00.000,2023-11-01t08:28:00.000,sgn,vvts,1,2023-11-01t09:50:00.000,2023-11-01t09:33:00.000,cambodia angkor air,k6,khv,3107,k63107,khv3107,vietnam airlines,vn,hvn,107,vn107,hvn107,,,,,,,,
departure,active,dad,vvdn,1,19.0,2023-11-01t08:10:00.000,2023-11-01t08:07:00.000,2023-11-01t08:28:00.000,2023-11-01t08:28:00.000,2023-11-01t08:28:00.000,sgn,vvts,1,2023-11-01t09:50:00.000,2023-11-01t09:33:00.000,vietnam airlines,vn,hvn,107,vn107,hvn107,,,,,,,,,,,,,,
departure,active,dad,vvdn,1,14.0,2023-11-01t08:25:00.000,2023-11-01t08:17:00.000,2023-11-01t08:38:00.000,2023-11-01t08:38:00.000,2023-11-01t08:38:00.000,dli,vvdl,,2023-11-01t09:45:00.000,2023-11-01t09:27:00.000,vietnam airlines,vn,hvn,1955,vn1955,hvn1955,,,,,,,,,,,,,,
departure,unknown,dad,vvdn,1,,2023-11-01t08:35:00.000,,,,,han,vvnb,1,2023-11-01t10:05:00.000,,cambodia angkor air,k6,khv,3158,k63158,khv3158,vietnam airlines,vn,hvn,158,vn158,hvn158,,,,,,,,
departure,unknown,dad,vvdn,1,,2023-11-01t08:35:00.000,,,,,han,vvnb,1,2023-11-01t10:05:00.000,,vietnam airlines,vn,hvn,158,vn158,hvn158,,,,,,,,,,,,,,
departure,active,dad,vvdn,1,20.0,2023-11-01t09:00:00.000,2023-11-01t09:05:00.000,2023-11-01t09:19:00.000,2023-11-01t09:19:00.000,2023-11-01t09:19:00.000,sgn,vvts,1,2023-11-01t10:30:00.000,2023-11-01t10:20:00.000,jetstar pacific,bl,pic,6055,bl6055,pic6055,,,,,,,,,,,,,,
departure,active,dad,vvdn,,2.0,2023-11-01t09:05:00.000,2023-11-01t09:05:00.000,2023-11-01t09:06:00.000,2023-11-01t09:06:00.000,2023-11-01t09:06:00.000,khh,rckh,,2023-11-01t12:20:00.000,2023-11-01t12:03:00.000,tigerair taiwan,it,ttw,578,it578,ttw578,,,,,,,27,,,,,,,
departure,active,dad,vvdn,1,29.0,2023-11-01t09:05:00.000,2023-11-01t09:16:00.000,2023-11-01t09:34:00.000,2023-11-01t09:34:00.000,2023-11-01t09:34:00.000,han,vvnb,t1,2023-11-01t10:25:00.000,2023-11-01t10:35:00.000,jet linx aviation,jl,jtl,5764,jl5764,jtl5764,vietjet air,vj,vjc,506,vj506,vjc506,,10.0,,,,,,
