error,type,status,departure.iataCode,departure.icaoCode,departure.terminal,departure.scheduledTime,departure.estimatedTime,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,departure.delay,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.estimatedTime,arrival.delay,departure.gate,arrival.gate,arrival.terminal,arrival.baggage
date_from < 1 year from current date!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,arrival,unknown,sgn,vvts,1,2023-12-01t06:25:00.000,2023-12-01t06:17:00.000,pqc,vvpq,2023-12-01t07:25:00.000,,a1,a1,2321,a12321,a12321,vietjet air,vj,vjc,321,vj321,vjc321,,,,,,,,,,,,,
,arrival,unknown,sgn,vvts,1,2023-12-01t06:25:00.000,2023-12-01t06:17:00.000,pqc,vvpq,2023-12-01t07:25:00.000,flexflight,w2,fxt,4321,w24321,fxt4321,vietjet air,vj,vjc,321,vj321,vjc321,,,,,,,,,,,,,
,arrival,unknown,sgn,vvts,1,2023-12-01t06:25:00.000,2023-12-01t06:17:00.000,pqc,vvpq,2023-12-01t07:25:00.000,,h1,h1,4318,h14318,h14318,vietjet air,vj,vjc,321,vj321,vjc321,,,,,,,,,,,,,
,arrival,unknown,sgn,vvts,1,2023-12-01t06:25:00.000,2023-12-01t06:17:00.000,pqc,vvpq,2023-12-01t07:25:00.000,vietjet air,vj,vjc,321,vj321,vjc321,,,,,,,,,,,,,,,,,,,
,arrival,landed,sgn,vvts,1,2023-12-01t06:35:00.000,2023-12-01t06:35:00.000,pqc,vvpq,2023-12-01t08:00:00.000,vietnam airlines,vn,hvn,1821,vn1821,hvn1821,,,,,,,6.0,2023-12-01t06:40:00.000,2023-12-01t06:40:00.000,2023-12-01t06:40:00.000,2023-12-01t07:11:00.000,2023-12-01t07:11:00.000,2023-12-01t07:11:00.000,,,,,,
,arrival,unknown,sgn,vvts,1,2023-12-01t07:20:00.000,,pqc,vvpq,2023-12-01t08:20:00.000,vietnam airlines,vn,hvn,6511,vn6511,hvn6511,,,,,,,,,,,,,,,,,,,
,arrival,landed,sgn,vvts,1,2023-12-01t08:20:00.000,2023-12-01t08:20:00.000,pqc,vvpq,2023-12-01t09:30:00.000,vietnam airlines,vn,hvn,1823,vn1823,hvn1823,,,,,,,19.0,2023-12-01t08:39:00.000,2023-12-01t08:39:00.000,2023-12-01t08:39:00.000,2023-12-01t09:16:00.000,2023-12-01t09:16:00.000,2023-12-01t09:16:00.000,2023-12-01t09:16:00.000,,,,,
,arrival,unknown,han,vvnb,1,2023-12-01t07:50:00.000,,pqc,vvpq,2023-12-01t10:00:00.000,bamboo airways,qh,bav,1621,qh1621,bav1621,,,,,,,,,,,,,,,,,,,
,arrival,unknown,dad,vvdn,1,2023-12-01t08:40:00.000,,pqc,vvpq,2023-12-01t10:25:00.000,bamboo airways,qh,bav,2311,qh2311,bav2311,,,,,,,,,,,,,,,,,,,
,arrival,landed,han,vvnb,t1,2023-12-01t08:15:00.000,,pqc,vvpq,2023-12-01t10:30:00.000,air france,af,afr,3320,af3320,afr3320,vietnam airlines,vn,hvn,1237,vn1237,hvn1237,10.0,2023-12-01t08:25:00.000,2023-12-01t08:25:00.000,2023-12-01t08:25:00.000,2023-12-01t10:12:00.000,2023-12-01t10:12:00.000,2023-12-01t10:12:00.000,2023-12-01t10:09:00.000,,,,,
,arrival,landed,han,vvnb,t1,2023-12-01t08:15:00.000,,pqc,vvpq,2023-12-01t10:30:00.000,vietnam airlines,vn,hvn,1237,vn1237,hvn1237,,,,,,,10.0,2023-12-01t08:25:00.000,2023-12-01t08:25:00.000,2023-12-01t08:25:00.000,2023-12-01t10:12:00.000,2023-12-01t10:12:00.000,2023-12-01t10:12:00.000,2023-12-01t10:09:00.000,,,,,
,arrival,landed,bkk,vtbs,,2023-12-01t09:40:00.000,2023-12-01t09:40:00.000,pqc,vvpq,2023-12-01t11:00:00.000,vietjet air,vj,vjc,980,vj980,vjc980,,,,,,,96.0,2023-12-01t11:15:00.000,2023-12-01t11:15:00.000,2023-12-01t11:15:00.000,,,,2023-12-01t12:09:00.000,69.0,,,,
,arrival,landed,sgn,vvts,1,2023-12-01t10:10:00.000,2023-12-01t10:11:00.000,pqc,vvpq,2023-12-01t11:10:00.000,jetstar pacific,bl,pic,6515,bl6515,pic6515,,,,,,,24.0,2023-12-01t10:34:00.000,2023-12-01t10:34:00.000,2023-12-01t10:34:00.000,2023-12-01t11:10:00.000,2023-12-01t11:10:00.000,2023-12-01t11:10:00.000,,1.0,,,,
,arrival,landed,sgn,vvts,1,2023-12-01t10:15:00.000,2023-12-01t10:15:00.000,pqc,vvpq,2023-12-01t11:15:00.000,,a1,a1,2323,a12323,a12323,vietjet air,vj,vjc,323,vj323,vjc323,10.0,2023-12-01t10:24:00.000,2023-12-01t10:24:00.000,2023-12-01t10:24:00.000,2023-12-01t11:01:00.000,2023-12-01t11:01:00.000,2023-12-01t11:01:00.000,2023-12-01t11:01:00.000,,,,,
,arrival,landed,sgn,vvts,1,2023-12-01t10:15:00.000,2023-12-01t10:15:00.000,pqc,vvpq,2023-12-01t11:15:00.000,flexflight,w2,fxt,4323,w24323,fxt4323,vietjet air,vj,vjc,323,vj323,vjc323,10.0,2023-12-01t10:24:00.000,2023-12-01t10:24:00.000,2023-12-01t10:24:00.000,2023-12-01t11:01:00.000,2023-12-01t11:01:00.000,2023-12-01t11:01:00.000,2023-12-01t11:01:00.000,,,,,
,arrival,landed,sgn,vvts,1,2023-12-01t10:15:00.000,2023-12-01t10:15:00.000,pqc,vvpq,2023-12-01t11:15:00.000,,h1,h1,4394,h14394,h14394,vietjet air,vj,vjc,323,vj323,vjc323,10.0,2023-12-01t10:24:00.000,2023-12-01t10:24:00.000,2023-12-01t10:24:00.000,2023-12-01t11:01:00.000,2023-12-01t11:01:00.000,2023-12-01t11:01:00.000,2023-12-01t11:01:00.000,,,,,
,arrival,landed,sgn,vvts,1,2023-12-01t10:15:00.000,2023-12-01t10:15:00.000,pqc,vvpq,2023-12-01t11:15:00.000,vietjet air,vj,vjc,323,vj323,vjc323,,,,,,,10.0,2023-12-01t10:24:00.000,2023-12-01t10:24:00.000,2023-12-01t10:24:00.000,2023-12-01t11:01:00.000,2023-12-01t11:01:00.000,2023-12-01t11:01:00.000,2023-12-01t11:01:00.000,,,,,
,arrival,landed,sgn,vvts,1,2023-12-01t10:50:00.000,2023-12-01t10:50:00.000,pqc,vvpq,2023-12-01t12:10:00.000,vietnam airlines,vn,hvn,1825,vn1825,hvn1825,,,,,,,16.0,2023-12-01t11:05:00.000,2023-12-01t11:05:00.000,2023-12-01t11:05:00.000,2023-12-01t11:41:00.000,2023-12-01t11:41:00.000,2023-12-01t11:41:00.000,2023-12-01t11:38:00.000,,,,,
,arrival,landed,han,vvnb,t1,2023-12-01t10:20:00.000,2023-12-01t10:20:00.000,pqc,vvpq,2023-12-01t12:25:00.000,vietnam airlines,vn,hvn,1231,vn1231,hvn1231,,,,,,,34.0,2023-12-01t10:54:00.000,2023-12-01t10:54:00.000,2023-12-01t10:54:00.000,2023-12-01t12:40:00.000,2023-12-01t12:40:00.000,2023-12-01t12:40:00.000,2023-12-01t12:35:00.000,15.0,,,,
,arrival,landed,han,vvnb,t1,2023-12-01t10:50:00.000,,pqc,vvpq,2023-12-01t12:55:00.000,,a1,a1,2453,a12453,a12453,vietjet air,vj,vjc,453,vj453,vjc453,17.0,2023-12-01t11:06:00.000,2023-12-01t11:06:00.000,2023-12-01t11:06:00.000,2023-12-01t12:52:00.000,2023-12-01t12:52:00.000,2023-12-01t12:52:00.000,2023-12-01t12:49:00.000,,,,,
,arrival,landed,han,vvnb,t1,2023-12-01t10:50:00.000,,pqc,vvpq,2023-12-01t12:55:00.000,flexflight,w2,fxt,4453,w24453,fxt4453,vietjet air,vj,vjc,453,vj453,vjc453,17.0,2023-12-01t11:06:00.000,2023-12-01t11:06:00.000,2023-12-01t11:06:00.000,2023-12-01t12:52:00.000,2023-12-01t12:52:00.000,2023-12-01t12:52:00.000,2023-12-01t12:49:00.000,,,,,
,arrival,landed,han,vvnb,t1,2023-12-01t10:50:00.000,,pqc,vvpq,2023-12-01t12:55:00.000,,h1,h1,4494,h14494,h14494,vietjet air,vj,vjc,453,vj453,vjc453,17.0,2023-12-01t11:06:00.000,2023-12-01t11:06:00.000,2023-12-01t11:06:00.000,2023-12-01t12:52:00.000,2023-12-01t12:52:00.000,2023-12-01t12:52:00.000,2023-12-01t12:49:00.000,,,,,
,arrival,landed,han,vvnb,t1,2023-12-01t10:50:00.000,,pqc,vvpq,2023-12-01t12:55:00.000,vietjet air,vj,vjc,453,vj453,vjc453,,,,,,,17.0,2023-12-01t11:06:00.000,2023-12-01t11:06:00.000,2023-12-01t11:06:00.000,2023-12-01t12:52:00.000,2023-12-01t12:52:00.000,2023-12-01t12:52:00.000,2023-12-01t12:49:00.000,,,,,
,arrival,landed,prg,lkpr,,2023-11-30t20:20:00.000,2023-11-30t20:31:00.000,pqc,vvpq,2023-12-01t13:05:00.000,world2fly,2w,wfl,8623,2w8623,wfl8623,,,,,,,38.0,2023-11-30t20:58:00.000,2023-11-30t20:58:00.000,2023-11-30t20:58:00.000,2023-12-01t12:59:00.000,2023-12-01t12:59:00.000,2023-12-01t12:59:00.000,2023-12-01t13:00:00.000,,,,,
,arrival,landed,sgn,vvts,1,2023-12-01t12:20:00.000,2023-12-01t12:20:00.000,pqc,vvpq,2023-12-01t13:20:00.000,,a1,a1,2325,a12325,a12325,vietjet air,vj,vjc,325,vj325,vjc325,30.0,2023-12-01t12:50:00.000,2023-12-01t12:50:00.000,2023-12-01t12:50:00.000,2023-12-01t13:28:00.000,2023-12-01t13:28:00.000,2023-12-01t13:28:00.000,2023-12-01t13:26:00.000,9.0,,,,
,arrival,landed,sgn,vvts,1,2023-12-01t12:20:00.000,2023-12-01t12:20:00.000,pqc,vvpq,2023-12-01t13:20:00.000,flexflight,w2,fxt,4325,w24325,fxt4325,vietjet air,vj,vjc,325,vj325,vjc325,30.0,2023-12-01t12:50:00.000,2023-12-01t12:50:00.000,2023-12-01t12:50:00.000,2023-12-01t13:28:00.000,2023-12-01t13:28:00.000,2023-12-01t13:28:00.000,2023-12-01t13:26:00.000,9.0,,,,
,arrival,landed,sgn,vvts,1,2023-12-01t12:20:00.000,2023-12-01t12:20:00.000,pqc,vvpq,2023-12-01t13:20:00.000,,h1,h1,4322,h14322,h14322,vietjet air,vj,vjc,325,vj325,vjc325,30.0,2023-12-01t12:50:00.000,2023-12-01t12:50:00.000,2023-12-01t12:50:00.000,2023-12-01t13:28:00.000,2023-12-01t13:28:00.000,2023-12-01t13:28:00.000,2023-12-01t13:26:00.000,9.0,,,,
,arrival,landed,sgn,vvts,1,2023-12-01t12:20:00.000,2023-12-01t12:20:00.000,pqc,vvpq,2023-12-01t13:20:00.000,vietjet air,vj,vjc,325,vj325,vjc325,,,,,,,30.0,2023-12-01t12:50:00.000,2023-12-01t12:50:00.000,2023-12-01t12:50:00.000,2023-12-01t13:28:00.000,2023-12-01t13:28:00.000,2023-12-01t13:28:00.000,2023-12-01t13:26:00.000,9.0,,,,
,arrival,unknown,vca,vvct,,2023-12-01t12:35:00.000,,pqc,vvpq,2023-12-01t13:25:00.000,bamboo airways,qh,bav,2181,qh2181,bav2181,,,,,,,,,,,,,,,,,,,
,arrival,landed,kul,wmkk,2,2023-12-01t12:50:00.000,,pqc,vvpq,2023-12-01t13:35:00.000,airasia,ak,axm,545,ak545,axm545,,,,,,,12.0,2023-12-01t13:02:00.000,2023-12-01t13:02:00.000,2023-12-01t13:02:00.000,2023-12-01t13:20:00.000,2023-12-01t13:20:00.000,2023-12-01t13:20:00.000,2023-12-01t13:20:00.000,,l14,8,,
,arrival,unknown,sgn,vvts,1,2023-12-01t13:00:00.000,2023-12-01t13:00:00.000,pqc,vvpq,2023-12-01t14:00:00.000,,a1,a1,2327,a12327,a12327,vietjet air,vj,vjc,327,vj327,vjc327,,,,,,,,,,,,,
,arrival,unknown,sgn,vvts,1,2023-12-01t13:00:00.000,2023-12-01t13:00:00.000,pqc,vvpq,2023-12-01t14:00:00.000,flexflight,w2,fxt,4327,w24327,fxt4327,vietjet air,vj,vjc,327,vj327,vjc327,,,,,,,,,,,,,
,arrival,unknown,sgn,vvts,1,2023-12-01t13:00:00.000,2023-12-01t13:00:00.000,pqc,vvpq,2023-12-01t14:00:00.000,,h1,h1,4220,h14220,h14220,vietjet air,vj,vjc,327,vj327,vjc327,,,,,,,,,,,,,
,arrival,unknown,sgn,vvts,1,2023-12-01t13:00:00.000,2023-12-01t13:00:00.000,pqc,vvpq,2023-12-01t14:00:00.000,vietjet air,vj,vjc,327,vj327,vjc327,,,,,,,,,,,,,,,,,,,
,arrival,landed,sgn,vvts,1,2023-12-01t13:20:00.000,2023-12-01t13:20:00.000,pqc,vvpq,2023-12-01t14:35:00.000,vietnam airlines,vn,hvn,1827,vn1827,hvn1827,,,,,,,12.0,2023-12-01t13:31:00.000,2023-12-01t13:31:00.000,2023-12-01t13:31:00.000,2023-12-01t14:07:00.000,2023-12-01t14:07:00.000,2023-12-01t14:07:00.000,,,,,,
,arrival,unknown,han,vvnb,1,2023-12-01t12:25:00.000,,pqc,vvpq,2023-12-01t14:35:00.000,bamboo airways,qh,bav,1623,qh1623,bav1623,,,,,,,,,,,,,,,,,,,
,arrival,unknown,hph,vvci,,2023-12-01t13:50:00.000,,pqc,vvpq,2023-12-01t15:55:00.000,bamboo airways,qh,bav,2031,qh2031,bav2031,,,,,,,,,,,,,,,,,,,
,arrival,landed,han,vvnb,t1,2023-12-01t13:55:00.000,,pqc,vvpq,2023-12-01t16:05:00.000,,a1,a1,2457,a12457,a12457,vietjet air,vj,vjc,457,vj457,vjc457,12.0,2023-12-01t14:07:00.000,2023-12-01t14:07:00.000,2023-12-01t14:07:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,,,,,
,arrival,landed,han,vvnb,t1,2023-12-01t13:55:00.000,,pqc,vvpq,2023-12-01t16:05:00.000,flexflight,w2,fxt,4457,w24457,fxt4457,vietjet air,vj,vjc,457,vj457,vjc457,12.0,2023-12-01t14:07:00.000,2023-12-01t14:07:00.000,2023-12-01t14:07:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,,,,,
,arrival,landed,han,vvnb,t1,2023-12-01t13:55:00.000,,pqc,vvpq,2023-12-01t16:05:00.000,,h1,h1,4493,h14493,h14493,vietjet air,vj,vjc,457,vj457,vjc457,12.0,2023-12-01t14:07:00.000,2023-12-01t14:07:00.000,2023-12-01t14:07:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,,,,,
,arrival,landed,han,vvnb,t1,2023-12-01t13:55:00.000,,pqc,vvpq,2023-12-01t16:05:00.000,vietjet air,vj,vjc,457,vj457,vjc457,,,,,,,12.0,2023-12-01t14:07:00.000,2023-12-01t14:07:00.000,2023-12-01t14:07:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,,,,,
,arrival,landed,sgn,vvts,1,2023-12-01t15:35:00.000,2023-12-01t15:35:00.000,pqc,vvpq,2023-12-01t16:45:00.000,vietnam airlines,vn,hvn,1829,vn1829,hvn1829,,,,,,,19.0,2023-12-01t15:54:00.000,2023-12-01t15:54:00.000,2023-12-01t15:54:00.000,2023-12-01t16:31:00.000,2023-12-01t16:31:00.000,2023-12-01t16:31:00.000,,,,,,
,arrival,unknown,han,vvnb,1,2023-12-01t15:20:00.000,,pqc,vvpq,2023-12-01t17:30:00.000,bamboo airways,qh,bav,1625,qh1625,bav1625,,,,,,,,,,,,,,,,,,,
