type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.scheduledTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,departure.estimatedTime,departure.delay,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.baggage,departure.gate,arrival.gate,arrival.delay,departure.terminal,error
departure,active,pqc,vvpq,2023-11-01t07:15:00.000,sgn,vvts,1,2023-11-01t08:20:00.000,,h1,h1,5174,h15174,h15174,vietjet air,vj,vjc,320,vj320,vjc320,,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t07:15:00.000,sgn,vvts,1,2023-11-01t08:20:00.000,,a1,a1,2320,a12320,a12320,vietjet air,vj,vjc,320,vj320,vjc320,,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t07:15:00.000,sgn,vvts,1,2023-11-01t08:20:00.000,flexflight,w2,fxt,4320,w24320,fxt4320,vietjet air,vj,vjc,320,vj320,vjc320,,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t07:15:00.000,sgn,vvts,1,2023-11-01t08:20:00.000,vietjet air,vj,vjc,320,vj320,vjc320,,,,,,,,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t07:30:00.000,han,vvnb,t1,2023-11-01t09:35:00.000,,a1,a1,2450,a12450,a12450,vietjet air,vj,vjc,450,vj450,vjc450,2023-11-01t07:30:00.000,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t07:30:00.000,han,vvnb,t1,2023-11-01t09:35:00.000,flexflight,w2,fxt,4450,w24450,fxt4450,vietjet air,vj,vjc,450,vj450,vjc450,2023-11-01t07:30:00.000,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t07:30:00.000,han,vvnb,t1,2023-11-01t09:35:00.000,,h1,h1,4092,h14092,h14092,vietjet air,vj,vjc,450,vj450,vjc450,2023-11-01t07:30:00.000,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t07:30:00.000,han,vvnb,t1,2023-11-01t09:35:00.000,vietjet air,vj,vjc,450,vj450,vjc450,,,,,,,2023-11-01t07:30:00.000,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t07:35:00.000,sgn,vvts,1,2023-11-01t08:25:00.000,bamboo airways,qh,bav,1526,qh1526,bav1526,,,,,,,2023-11-01t07:35:00.000,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t08:05:00.000,sgn,vvts,1,2023-11-01t09:10:00.000,,a1,a1,2322,a12322,a12322,vietjet air,vj,vjc,322,vj322,vjc322,,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t08:05:00.000,sgn,vvts,1,2023-11-01t09:10:00.000,flexflight,w2,fxt,4322,w24322,fxt4322,vietjet air,vj,vjc,322,vj322,vjc322,,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t08:05:00.000,sgn,vvts,1,2023-11-01t09:10:00.000,,h1,h1,4319,h14319,h14319,vietjet air,vj,vjc,322,vj322,vjc322,,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t08:05:00.000,sgn,vvts,1,2023-11-01t09:10:00.000,vietjet air,vj,vjc,322,vj322,vjc322,,,,,,,,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t08:40:00.000,sgn,vvts,1,2023-11-01t09:35:00.000,vietnam airlines,vn,hvn,1820,vn1820,hvn1820,,,,,,,,9.0,2023-11-01t08:49:00.000,2023-11-01t08:49:00.000,2023-11-01t08:49:00.000,2023-11-01t09:30:00.000,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t08:55:00.000,sgn,vvts,1,2023-11-01t09:55:00.000,vietnam airlines,vn,hvn,6510,vn6510,hvn6510,,,,,,,,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t09:55:00.000,sgn,vvts,1,2023-11-01t11:15:00.000,jetstar pacific,bl,pic,6512,bl6512,pic6512,,,,,,,,8.0,2023-11-01t10:03:00.000,2023-11-01t10:03:00.000,2023-11-01t10:03:00.000,2023-11-01t10:48:00.000,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t10:10:00.000,sgn,vvts,1,2023-11-01t11:40:00.000,vietnam airlines,vn,hvn,1822,vn1822,hvn1822,,,,,,,2023-11-01t10:10:00.000,4.0,2023-11-01t10:14:00.000,2023-11-01t10:14:00.000,2023-11-01t10:14:00.000,,2023-11-01t10:57:00.000,2023-11-01t10:57:00.000,2023-11-01t10:57:00.000,,,,,,
departure,active,pqc,vvpq,2023-11-01t10:35:00.000,han,vvnb,t1,2023-11-01t12:40:00.000,,a1,a1,2452,a12452,a12452,vietjet air,vj,vjc,452,vj452,vjc452,,9.0,2023-11-01t10:44:00.000,2023-11-01t10:44:00.000,2023-11-01t10:44:00.000,2023-11-01t12:28:00.000,,,,,,,,,
